campaign_id,campaign_name,campaign_type,target_audience,month,budget,spend,impressions,clicks,leads,conversions,revenue
C001,Display Campaign 1,Display,45-54,2024-04,22642,17913,75124,2383,197,37,75708
C002,Influencer Campaign 2,Influencer,55+,2024-02,23444,20221,120530,12032,5043,2415,36771
C003,Social Media Campaign 3,Social Media,45-54,2024-11,9966,7824,56924,4844,1407,89,41078
C004,Influencer Campaign 4,Influencer,18-24,2024-08,13367,11263,80621,9341,82,32,19797
C005,Influencer Campaign 5,Influencer,18-24,2024-08,19995,19136,131294,1040,203,21,34720
C006,Search Campaign 6,Search,45-54,2024-10,8820,8530,56143,503,48,5,13687
C007,Display Campaign 7,Display,18-24,2024-07,23709,18251,91214,10315,66,29,42882
C008,Influencer Campaign 8,Influencer,45-54,2024-04,4815,4320,126122,4420,1137,418,20210
C009,Search Campaign 9,Search,35-44,2024-12,18602,17897,44321,5112,636,316,93489
C010,Email Campaign 10,Email,18-24,2024-02,7707,6305,56568,3557,318,58,31134
C011,Social Media Campaign 11,Social Media,45-54,2024-04,11440,8888,104818,3246,1409,79,28049
C012,Email Campaign 12,Email,55+,2024-01,14057,11242,114621,5717,1655,400,30872
C013,Social Media Campaign 13,Social Media,55+,2024-02,8938,8512,107778,12023,3285,1583,24571
C014,Social Media Campaign 14,Social Media,25-34,2024-11,13179,10205,92295,3781,1584,833,42292
C015,Search Campaign 15,Search,45-54,2024-05,17356,16017,31004,1993,451,237,32101
C016,Influencer Campaign 16,Influencer,35-44,2024-11,13505,12577,149786,4370,1924,530,35534
C017,Social Media Campaign 17,Social Media,45-54,2024-11,23021,18110,109341,11312,4970,2539,71242
C018,Display Campaign 18,Display,25-34,2024-07,14037,13393,100539,270,105,27,54421
C019,Search Campaign 19,Search,25-34,2024-11,11551,10409,70617,6888,1435,677,27891
C020,Email Campaign 20,Email,55+,2024-09,9635,7229,91404,2942,1066,459,37486
C021,Social Media Campaign 21,Social Media,45-54,2024-08,21362,18631,85367,3481,1533,26,102430
C022,Social Media Campaign 22,Social Media,18-24,2024-10,4047,3930,119254,5110,1532,575,14714
C023,Influencer Campaign 23,Influencer,55+,2024-05,9357,8646,113458,6728,725,140,25643
C024,Search Campaign 24,Search,25-34,2024-08,15747,13325,56880,3147,532,111,27794
C025,Influencer Campaign 25,Influencer,45-54,2024-03,18701,16489,134873,11095,1408,81,54394
C026,Display Campaign 26,Display,55+,2024-01,6763,5585,139531,2564,707,340,23728
C027,Influencer Campaign 27,Influencer,55+,2024-05,23758,17884,93646,6981,1091,174,25751
C028,Email Campaign 28,Email,45-54,2024-01,4564,3782,70281,4986,669,229,4048
C029,Display Campaign 29,Display,25-34,2024-04,6839,5892,81513,4713,1515,77,20213
C030,Search Campaign 30,Search,55+,2024-03,14589,13132,31355,3245,1408,121,55237
C031,Search Campaign 31,Search,25-34,2024-09,5834,4420,144409,12627,1384,367,21627
C032,Search Campaign 32,Search,55+,2024-10,23024,18121,23844,1602,660,228,30508
C033,Search Campaign 33,Search,18-24,2024-03,19271,17303,146640,610,79,29,88401
C034,Email Campaign 34,Email,25-34,2024-10,17544,16116,31018,3547,350,47,71523
C035,Social Media Campaign 35,Social Media,35-44,2024-06,22310,16966,113947,533,96,15,24158
C036,Email Campaign 36,Email,35-44,2024-09,12690,10364,139091,14208,612,25,25522
C037,Influencer Campaign 37,Influencer,35-44,2024-06,24757,20429,19061,1742,297,161,38104
C038,Search Campaign 38,Search,18-24,2024-05,16092,13620,69724,1626,556,213,74375
C039,Search Campaign 39,Search,25-34,2024-11,11513,9069,34630,1980,24,5,42960
C040,Search Campaign 40,Search,25-34,2024-11,12845,9815,76741,3202,1207,445,14718
C041,Email Campaign 41,Email,55+,2024-07,17622,13517,71162,5792,1800,140,41192
C042,Influencer Campaign 42,Influencer,18-24,2024-06,19448,15301,137045,3614,1485,107,43620
C043,Search Campaign 43,Search,25-34,2024-03,18578,17088,75121,3024,545,90,65993
C044,Influencer Campaign 44,Influencer,55+,2024-02,10691,8610,69447,5828,1744,409,28108
C045,Email Campaign 45,Email,25-34,2024-05,13618,12616,97605,8321,794,54,57141
C046,Email Campaign 46,Email,18-24,2024-07,5036,4142,23099,1399,209,39,20839
C047,Social Media Campaign 47,Social Media,18-24,2024-10,20377,16667,105561,2069,183,49,43825
C048,Social Media Campaign 48,Social Media,55+,2024-05,9491,8106,17134,926,138,23,29659
C049,Display Campaign 49,Display,18-24,2024-06,13419,12811,74214,2713,171,7,11998
C050,Search Campaign 50,Search,25-34,2024-06,23340,18879,28470,2841,21,8,25215
C051,Display Campaign 51,Display,18-24,2024-12,15116,13065,108525,12777,4601,1081,30537
C052,Social Media Campaign 52,Social Media,18-24,2024-05,20405,16446,18711,649,156,46,61151
C053,Social Media Campaign 53,Social Media,35-44,2024-10,23475,18919,125937,11097,3663,1074,16634
C054,Social Media Campaign 54,Social Media,18-24,2024-07,6996,6434,84002,8296,3151,1657,26434
C055,Display Campaign 55,Display,35-44,2024-09,10706,9519,37745,2547,835,401,16939
C056,Influencer Campaign 56,Influencer,35-44,2024-08,19059,15778,32313,3052,60,6,54380
C057,Search Campaign 57,Search,45-54,2024-04,16872,16081,14643,240,35,17,37083
C058,Search Campaign 58,Search,18-24,2024-01,17080,16072,85204,3200,296,78,88269
C059,Display Campaign 59,Display,18-24,2024-05,9053,8355,111227,10551,808,44,17246
C060,Influencer Campaign 60,Influencer,35-44,2024-05,8187,7558,42411,487,211,82,35473
C061,Social Media Campaign 61,Social Media,45-54,2024-07,7208,6879,136969,3763,1596,518,15417
C062,Display Campaign 62,Display,35-44,2024-09,11288,10113,130441,4840,630,102,23734
C063,Search Campaign 63,Search,55+,2024-04,23108,19218,145278,2512,484,227,85950
C064,Influencer Campaign 64,Influencer,18-24,2024-06,16092,14218,31587,243,74,10,39826
C065,Email Campaign 65,Email,18-24,2024-01,9393,8923,33090,3381,514,157,15177
C066,Search Campaign 66,Search,35-44,2024-12,13174,10405,59796,929,335,33,24151
C067,Search Campaign 67,Search,35-44,2024-07,13970,12097,126131,10828,2068,987,40508
C068,Social Media Campaign 68,Social Media,25-34,2024-06,7283,5534,95219,9265,1916,432,25520
C069,Influencer Campaign 69,Influencer,55+,2024-07,18604,18063,101108,9332,1467,750,58417
C070,Influencer Campaign 70,Influencer,35-44,2024-01,3537,3146,100188,2703,282,116,3194
C071,Influencer Campaign 71,Influencer,35-44,2024-11,21286,17398,105138,3034,1153,341,70589
C072,Email Campaign 72,Email,55+,2024-05,4078,3685,99958,7140,833,330,5677
C073,Search Campaign 73,Search,18-24,2024-08,15812,13418,109474,6305,2445,1318,63251
C074,Display Campaign 74,Display,35-44,2024-02,9677,9443,102206,2405,149,38,37780
C075,Email Campaign 75,Email,35-44,2024-07,13269,11763,42564,2570,585,213,58900
C076,Search Campaign 76,Search,25-34,2024-05,24675,22952,17096,1322,540,278,46653
C077,Search Campaign 77,Search,45-54,2024-09,21101,16449,89509,7314,3061,791,20308
C078,Social Media Campaign 78,Social Media,18-24,2024-08,10486,9018,27378,2247,920,159,17458
C079,Influencer Campaign 79,Influencer,18-24,2024-03,17867,16734,28320,1654,594,71,89295
C080,Social Media Campaign 80,Social Media,55+,2024-01,5117,3855,66650,6133,83,33,6754
C081,Influencer Campaign 81,Influencer,45-54,2024-08,23823,21803,66787,6165,202,82,40004
C082,Display Campaign 82,Display,25-34,2024-03,20999,17960,15462,1777,759,21,39826
C083,Email Campaign 83,Email,25-34,2024-10,15892,15020,140616,4662,1184,592,36626
C084,Search Campaign 84,Search,18-24,2024-06,21875,20549,62662,5658,1719,697,41931
C085,Influencer Campaign 85,Influencer,35-44,2024-08,5600,4701,118123,12002,2152,626,14354
C086,Influencer Campaign 86,Influencer,25-34,2024-01,11195,8993,14662,526,155,33,19864
C087,Social Media Campaign 87,Social Media,45-54,2024-06,16143,12706,79504,6336,699,8,19467
C088,Display Campaign 88,Display,45-54,2024-05,18772,16798,56489,2884,1180,149,67973
